gene	chro	start	end	strand	gene_type	gene_id
TTLL10-AS1	chr1	1179555	1173056	-	lncRNA	ENSG00000205231
TTLL10	chr1	1173880	1197936	+	protein_coding	ENSG00000162571
TNFRSF18	chr1	1206592	1203508	-	protein_coding	ENSG00000186891
TNFRSF4	chr1	1214153	1211326	-	protein_coding	ENSG00000186827
ENSG00000304412	chr1	1216908	1228947	+	lncRNA	ENSG00000304412
SDF4	chr1	1232031	1216931	-	protein_coding	ENSG00000078808
B3GALT6	chr1	1232237	1235041	+	protein_coding	ENSG00000176022
C1QTNF12	chr1	1246722	1242446	-	protein_coding	ENSG00000184163
ENSG00000260179	chr1	1251334	1249777	-	lncRNA	ENSG00000260179
UBE2J2	chr1	1273864	1253909	-	protein_coding	ENSG00000160087
LINC01786	chr1	1274033	1280420	+	lncRNA	ENSG00000230415
SCNN1D	chr1	1280436	1292029	+	protein_coding	ENSG00000162572
ACAP3	chr1	1309609	1292390	-	protein_coding	ENSG00000131584
MIR6726	chr1	1296170	1296110	-	miRNA	ENSG00000278073
PUSL1	chr1	1308597	1311677	+	protein_coding	ENSG00000169972
INTS11	chr1	1324687	1311585	-	protein_coding	ENSG00000127054
MIR6727	chr1	1312566	1312502	-	miRNA	ENSG00000283712
ENSG00000240731	chr1	1318689	1317581	-	lncRNA	ENSG00000240731
CPTP	chr1	1324756	1328896	+	protein_coding	ENSG00000224051
TAS1R3	chr1	1331280	1335314	+	protein_coding	ENSG00000169962
DVL1	chr1	1349418	1335276	-	protein_coding	ENSG00000107404
MIR6808	chr1	1339708	1339650	-	miRNA	ENSG00000284372
ENSG00000304860	chr1	1348183	1362350	+	lncRNA	ENSG00000304860
MXRA8	chr1	1361777	1352689	-	protein_coding	ENSG00000162576
AURKAIP1	chr1	1375207	1373730	-	protein_coding	ENSG00000175756
NDUFB4P8	chr1	1378666	1379032	+	processed_pseudogene	ENSG00000223663
CCNL2	chr1	1399335	1385711	-	protein_coding	ENSG00000221978
MRPL20-AS1	chr1	1399476	1402054	+	lncRNA	ENSG00000224870
MRPL20	chr1	1407293	1401909	-	protein_coding	ENSG00000242485
RN7SL657P	chr1	1405752	1405460	-	misc_RNA	ENSG00000264293
ENSG00000301639	chr1	1407358	1408306	+	lncRNA	ENSG00000301639
MRPL20-DT	chr1	1409096	1410618	+	lncRNA	ENSG00000272455
ANKRD65	chr1	1421769	1418420	-	protein_coding	ENSG00000235098
ANKRD65-AS1	chr1	1420245	1423287	+	lncRNA	ENSG00000225905
TMEM88B	chr1	1425871	1430255	+	protein_coding	ENSG00000205116
LINC01770	chr1	1435625	1429194	-	lncRNA	ENSG00000225285
VWA1	chr1	1434861	1442882	+	protein_coding	ENSG00000179403
ATAD3C	chr1	1449689	1470163	+	protein_coding	ENSG00000215915
ATAD3B	chr1	1471765	1497848	+	protein_coding	ENSG00000160072
ENSG00000290916	chr1	1503224	1509526	+	lncRNA	ENSG00000290916
ENSG00000284740	chr1	1503582	1509351	+	transcribed_unprocessed_pseudogene	ENSG00000284740
ATAD3A	chr1	1512162	1534685	+	protein_coding	ENSG00000197785
TMEM240	chr1	1540624	1534778	-	protein_coding	ENSG00000205090
ENSG00000299413	chr1	1539564	1592377	+	lncRNA	ENSG00000299413
SSU72	chr1	1574863	1541673	-	protein_coding	ENSG00000160075
SSU72-AS1	chr1	1574102	1577075	+	lncRNA	ENSG00000215014
ENSG00000274481	chr1	1583909	1583510	-	processed_pseudogene	ENSG00000274481
FNDC10	chr1	1600135	1598012	-	protein_coding	ENSG00000228594
ENSG00000286989	chr1	1600182	1607327	+	lncRNA	ENSG00000286989
ENSG00000272106	chr1	1615795	1613758	-	lncRNA	ENSG00000272106
MIB2	chr1	1615454	1630605	+	protein_coding	ENSG00000197530
MMP23B	chr1	1632163	1635263	+	protein_coding	ENSG00000189409
CDK11B	chr1	1659012	1635225	-	protein_coding	ENSG00000248333
ENSG00000272004	chr1	1659027	1662939	+	lncRNA	ENSG00000272004
SLC35E2B	chr1	1692795	1659529	-	protein_coding	ENSG00000189339
ENSG00000293187	chr1	1671990	1673411	+	lncRNA	ENSG00000293187
ENSG00000269737	chr1	1673275	1674397	+	transcribed_processed_pseudogene	ENSG00000269737
ENSG00000310190	chr1	1692528	1701814	+	lncRNA	ENSG00000310190
ENSG00000310238	chr1	1700731	1698620	-	lncRNA	ENSG00000310238
MMP23A	chr1	1699942	1701782	+	transcribed_unprocessed_pseudogene	ENSG00000215914
CDK11A	chr1	1724357	1702379	-	protein_coding	ENSG00000008128
ENSG00000268575	chr1	1737688	1702736	-	lncRNA	ENSG00000268575
ENSG00000293188	chr1	1724194	1736519	+	lncRNA	ENSG00000293188
ENSG00000290854	chr1	1745992	1724838	-	lncRNA	ENSG00000290854
SLC35E2A	chr1	1739557	1734690	-	transcribed_unprocessed_pseudogene	ENSG00000215790
ENSG00000227775	chr1	1735817	1737251	+	transcribed_processed_pseudogene	ENSG00000227775
NADK	chr1	1780457	1751232	-	protein_coding	ENSG00000008130
ENSG00000302550	chr1	1783129	1796057	+	lncRNA	ENSG00000302550
GNB1	chr1	1892292	1785285	-	protein_coding	ENSG00000078369
GNB1-DT	chr1	1891175	1892835	+	lncRNA	ENSG00000231050
ENSG00000303984	chr1	1891754	1891400	-	lncRNA	ENSG00000303984
ENSG00000294910	chr1	1909117	1906002	-	lncRNA	ENSG00000294910
ENSG00000306476	chr1	1909317	1910418	+	lncRNA	ENSG00000306476
CALML6	chr1	1915108	1917296	+	protein_coding	ENSG00000169885
TMEM52	chr1	1919279	1917590	-	protein_coding	ENSG00000178821
CFAP74	chr1	2003837	1921951	-	protein_coding	ENSG00000142609
ENSG00000233542	chr1	2019198	2013198	-	lncRNA	ENSG00000233542
GABRD	chr1	2019329	2030758	+	protein_coding	ENSG00000187730
ENSG00000304958	chr1	2047450	2033503	-	lncRNA	ENSG00000304958
PRKCZ-DT	chr1	2050176	2049202	-	lncRNA	ENSG00000226969
PRKCZ	chr1	2050411	2185395	+	protein_coding	ENSG00000067606
ENSG00000308181	chr1	2104917	2103345	-	lncRNA	ENSG00000308181
ENSG00000271806	chr1	2145279	2141084	-	lncRNA	ENSG00000271806
PRKCZ-AS1	chr1	2184389	2181794	-	lncRNA	ENSG00000182873
FAAP20	chr1	2212720	2184461	-	protein_coding	ENSG00000162585
ENSG00000304038	chr1	2207046	2208854	+	lncRNA	ENSG00000304038
ENSG00000234396	chr1	2212523	2220738	+	lncRNA	ENSG00000234396
ENSG00000304143	chr1	2214206	2212965	-	lncRNA	ENSG00000304143
SKI	chr1	2227388	2310213	+	protein_coding	ENSG00000157933
ENSG00000295493	chr1	2301069	2300846	-	lncRNA	ENSG00000295493
ENSG00000287356	chr1	2314917	2323085	+	lncRNA	ENSG00000287356
MORN1	chr1	2391707	2321253	-	protein_coding	ENSG00000116151
ENSG00000272161	chr1	2326693	2326201	-	lncRNA	ENSG00000272161
ENSG00000292993	chr1	2352820	2350414	-	lncRNA	ENSG00000292993
ENSG00000269896	chr1	2351857	2351644	-	transcribed_processed_pseudogene	ENSG00000269896
ENSG00000272420	chr1	2363628	2363061	-	lncRNA	ENSG00000272420
ENSG00000295371	chr1	2385375	2388508	+	lncRNA	ENSG00000295371
RER1	chr1	2391775	2405442	+	protein_coding	ENSG00000157916
PEX10	chr1	2413797	2403964	-	protein_coding	ENSG00000157911
PLCH2	chr1	2425980	2505532	+	protein_coding	ENSG00000149527
ENSG00000224387	chr1	2493258	2492300	-	lncRNA	ENSG00000224387
ENSG00000229393	chr1	2494479	2493437	-	lncRNA	ENSG00000229393
PANK4	chr1	2526597	2508537	-	protein_coding	ENSG00000157881
HES5	chr1	2530263	2528745	-	protein_coding	ENSG00000197921
ENSG00000272449	chr1	2530064	2547878	+	lncRNA	ENSG00000272449
TNFRSF14-AS1	chr1	2557059	2540861	-	lncRNA	ENSG00000238164
ENSG00000307979	chr1	2550557	2552503	+	lncRNA	ENSG00000307979
TNFRSF14	chr1	2555639	2565382	+	protein_coding	ENSG00000157873
ENSG00000225931	chr1	2566410	2569888	+	TEC	ENSG00000225931
ENSG00000307958	chr1	2580567	2576210	-	lncRNA	ENSG00000307958
ENSG00000228037	chr1	2577043	2584553	+	lncRNA	ENSG00000228037
ENSG00000289610	chr1	2585590	2586283	+	lncRNA	ENSG00000289610
PRXL2B	chr1	2586491	2591469	+	protein_coding	ENSG00000157870
MMEL1	chr1	2633016	2590639	-	protein_coding	ENSG00000142606
MMEL1-AS1	chr1	2628688	2636624	+	lncRNA	ENSG00000237058
TTC34	chr1	2801693	2636986	-	protein_coding	ENSG00000215912
ENSG00000285945	chr1	2768091	2784733	+	lncRNA	ENSG00000285945
ENSG00000283259	chr1	2773603	2776473	+	lncRNA	ENSG00000283259
ENSG00000233234	chr1	2812692	2811850	-	lncRNA	ENSG00000233234
ENSG00000287396	chr1	2814020	2817789	+	lncRNA	ENSG00000287396
ENSG00000231630	chr1	2814998	2814432	-	lncRNA	ENSG00000231630
ENSG00000302855	chr1	2822159	2823360	+	lncRNA	ENSG00000302855
ENSG00000295089	chr1	2855996	2855194	-	lncRNA	ENSG00000295089
ENSG00000300015	chr1	2875675	2873653	-	lncRNA	ENSG00000300015
ENSG00000284745	chr1	2968707	2960355	-	lncRNA	ENSG00000284745
ACTRT2	chr1	3021467	3022903	+	protein_coding	ENSG00000169717
PRDM16-DT	chr1	3070251	3059564	-	lncRNA	ENSG00000177133
PRDM16	chr1	3069168	3438621	+	protein_coding	ENSG00000142611
MIR4251	chr1	3127975	3128035	+	miRNA	ENSG00000283572
ENSG00000226286	chr1	3133709	3132927	-	lncRNA	ENSG00000226286
ENSG00000306427	chr1	3167152	3161276	-	lncRNA	ENSG00000306427
ENSG00000279839	chr1	3205988	3208664	+	TEC	ENSG00000279839
ENSG00000306439	chr1	3213146	3211011	-	lncRNA	ENSG00000306439
ENSG00000272235	chr1	3310096	3306636	-	lncRNA	ENSG00000272235
ENSG00000287828	chr1	3323149	3312741	-	lncRNA	ENSG00000287828
ENSG00000286518	chr1	3373928	3367815	-	lncRNA	ENSG00000286518
ENSG00000295754	chr1	3441727	3439154	-	lncRNA	ENSG00000295754
ENSG00000297626	chr1	3454339	3453403	-	lncRNA	ENSG00000297626
ARHGEF16	chr1	3454665	3481113	+	protein_coding	ENSG00000130762
ENSG00000272088	chr1	3487246	3487627	+	lncRNA	ENSG00000272088
MEGF6	chr1	3611508	3487951	-	protein_coding	ENSG00000162591
MIR551A	chr1	3560790	3560695	-	miRNA	ENSG00000207776
ENSG00000309127	chr1	3619643	3622906	+	lncRNA	ENSG00000309127
ENSG00000238260	chr1	3624787	3620739	-	lncRNA	ENSG00000238260
TPRG1L	chr1	3625015	3630127	+	protein_coding	ENSG00000158109
WRAP73	chr1	3652761	3630767	-	protein_coding	ENSG00000116213
TP73	chr1	3652516	3736201	+	protein_coding	ENSG00000078900
TP73-AS3	chr1	3668772	3658938	-	lncRNA	ENSG00000227589
TP73-AS2	chr1	3714298	3712200	-	lncRNA	ENSG00000235131
GFOD3P	chr1	3747373	3735511	-	lncRNA	ENSG00000293478
ENSG00000276189	chr1	3736943	3737103	+	misc_RNA	ENSG00000276189
GFOD3P	chr1	3746742	3738434	-	transcribed_unitary_pseudogene	ENSG00000227372
CCDC27	chr1	3746460	3771645	+	protein_coding	ENSG00000162592
ENSG00000296834	chr1	3752342	3750341	-	lncRNA	ENSG00000296834
SMIM1	chr1	3772749	3775982	+	protein_coding	ENSG00000235169
LRRC47	chr1	3796498	3778559	-	protein_coding	ENSG00000130764
RN7SL574P	chr1	3782815	3783111	+	misc_RNA	ENSG00000266075
ENSG00000272153	chr1	3785008	3785538	+	lncRNA	ENSG00000272153
CEP104	chr1	3857396	3812086	-	protein_coding	ENSG00000116198
DFFB	chr1	3857267	3885429	+	protein_coding	ENSG00000169598
C1orf174	chr1	3900293	3889125	-	protein_coding	ENSG00000198912
LINC01134	chr1	3900187	3917547	+	lncRNA	ENSG00000236423
LINC01346	chr1	3940486	3955262	+	lncRNA	ENSG00000233304
LINC01345	chr1	3949024	3944547	-	lncRNA	ENSG00000226374
LINC02780	chr1	3976133	4093062	+	lncRNA	ENSG00000284668
ENSG00000284703	chr1	4019843	4012921	-	lncRNA	ENSG00000284703
ENSG00000296871	chr1	4046929	4043675	-	lncRNA	ENSG00000296871
ENSG00000308587	chr1	4108993	4108078	-	lncRNA	ENSG00000308587
EEF1DP6	chr1	4175899	4175528	-	processed_pseudogene	ENSG00000229280
ENSG00000301255	chr1	4228239	4224706	-	lncRNA	ENSG00000301255
ENSG00000299169	chr1	4269793	4267345	-	lncRNA	ENSG00000299169
ENSG00000302287	chr1	4319668	4317882	-	lncRNA	ENSG00000302287
LINC01777	chr1	4412027	4424689	+	lncRNA	ENSG00000235054
ENSG00000306535	chr1	4463221	4460526	-	lncRNA	ENSG00000306535
ENSG00000284694	chr1	4484375	4479131	-	lncRNA	ENSG00000284694
ENSG00000299517	chr1	4497501	4495360	-	lncRNA	ENSG00000299517
ENSG00000227169	chr1	4552145	4551735	-	lncRNA	ENSG00000227169
ENSG00000295490	chr1	4556410	4555871	-	lncRNA	ENSG00000295490
LINC01646	chr1	4571481	4594016	+	lncRNA	ENSG00000232596
ENSG00000300565	chr1	4603690	4622259	+	lncRNA	ENSG00000300565
ENSG00000303830	chr1	4634700	4627314	-	lncRNA	ENSG00000303830
AJAP1	chr1	4654609	4792534	+	protein_coding	ENSG00000196581
ENSG00000287586	chr1	4734992	4730211	-	lncRNA	ENSG00000287586
ENSG00000284739	chr1	4973298	4957519	-	lncRNA	ENSG00000284739
LINC02781	chr1	4973381	4981568	+	lncRNA	ENSG00000284674
ENSG00000309102	chr1	4998772	4992579	-	lncRNA	ENSG00000309102
ENSG00000309111	chr1	4997979	5004012	+	lncRNA	ENSG00000309111
LINC02782	chr1	5090899	5086459	-	lncRNA	ENSG00000231510
ENSG00000296716	chr1	5161643	5155566	-	lncRNA	ENSG00000296716
ENSG00000302269	chr1	5225258	5220546	-	lncRNA	ENSG00000302269
ENSG00000306645	chr1	5295192	5292485	-	lncRNA	ENSG00000306645
ENSG00000284616	chr1	5307394	5301928	-	lncRNA	ENSG00000284616
ENSG00000302445	chr1	5430776	5426089	-	lncRNA	ENSG00000302445
ENSG00000302452	chr1	5430322	5433023	+	lncRNA	ENSG00000302452
ENSG00000295735	chr1	5455118	5448819	-	lncRNA	ENSG00000295735
ENSG00000284692	chr1	5493057	5478736	-	lncRNA	ENSG00000284692
ENSG00000284666	chr1	5482028	5480787	-	lncRNA	ENSG00000284666
ENSG00000260972	chr1	5492978	5494674	+	lncRNA	ENSG00000260972
ENSG00000299325	chr1	5503846	5502638	-	lncRNA	ENSG00000299325
ENSG00000283356	chr1	5554747	5554881	+	unprocessed_pseudogene	ENSG00000283356
ENSG00000289893	chr1	5771608	5561708	-	lncRNA	ENSG00000289893
ENSG00000264341	chr1	5564071	5564143	+	miRNA	ENSG00000264341
ENSG00000295108	chr1	5597389	5614160	+	lncRNA	ENSG00000295108
ENSG00000295122	chr1	5709714	5706880	-	lncRNA	ENSG00000295122
ENSG00000298180	chr1	5834386	5838310	+	lncRNA	ENSG00000298180
MIR4689	chr1	5862741	5862672	-	miRNA	ENSG00000264101
NPHP4	chr1	5992473	5862811	-	protein_coding	ENSG00000131697
ENSG00000299539	chr1	5897461	5902448	+	lncRNA	ENSG00000299539
KCNAB2	chr1	5990927	6101193	+	protein_coding	ENSG00000069424
CHD5	chr1	6180321	6101787	-	protein_coding	ENSG00000116254
ENSG00000285629	chr1	6197757	6159430	-	protein_coding	ENSG00000285629
RPL22	chr1	6209389	6185020	-	protein_coding	ENSG00000116251
RNF207-AS1	chr1	6206041	6204835	-	lncRNA	ENSG00000226944
RNF207	chr1	6205475	6221299	+	protein_coding	ENSG00000158286
ICMT	chr1	6235972	6221193	-	protein_coding	ENSG00000116237
ICMT-DT	chr1	6234692	6239448	+	lncRNA	ENSG00000225077
HES3	chr1	6244179	6245578	+	protein_coding	ENSG00000173673
GPR153	chr1	6261098	6247353	-	protein_coding	ENSG00000158292
ACOT7	chr1	6393767	6264269	-	protein_coding	ENSG00000097021
ENSG00000271746	chr1	6393555	6394391	+	lncRNA	ENSG00000271746
HES2	chr1	6424670	6412418	-	protein_coding	ENSG00000069812
ESPN	chr1	6424776	6461367	+	protein_coding	ENSG00000187017
MIR4252	chr1	6429896	6429834	-	miRNA	ENSG00000265392
ENSG00000231868	chr1	6447006	6443034	-	lncRNA	ENSG00000231868
TNFRSF25	chr1	6466175	6460786	-	protein_coding	ENSG00000215788
PLEKHG5	chr1	6520074	6467122	-	protein_coding	ENSG00000171680
ENSG00000297749	chr1	6485037	6487704	+	lncRNA	ENSG00000297749
ENSG00000299237	chr1	6490640	6494731	+	lncRNA	ENSG00000299237
ENSG00000299253	chr1	6490905	6493396	+	lncRNA	ENSG00000299253
NOL9	chr1	6554513	6521347	-	protein_coding	ENSG00000162408
RNU6-731P	chr1	6540854	6540964	+	snRNA	ENSG00000253022
ENSG00000229519	chr1	6547905	6548619	+	processed_pseudogene	ENSG00000229519
TAS1R1	chr1	6555307	6579755	+	protein_coding	ENSG00000173662
ZBTB48	chr1	6579994	6589280	+	protein_coding	ENSG00000204859
KLHL21	chr1	6614607	6590724	-	protein_coding	ENSG00000162413
ENSG00000295286	chr1	6598943	6600379	+	lncRNA	ENSG00000295286
ENSG00000304810	chr1	6613159	6612997	-	lncRNA	ENSG00000304810
PHF13	chr1	6613731	6624030	+	protein_coding	ENSG00000116273
THAP3	chr1	6624868	6635586	+	protein_coding	ENSG00000041988
DNAJC11	chr1	6701924	6634168	-	protein_coding	ENSG00000007923
LINC01672	chr1	6724626	6730012	+	lncRNA	ENSG00000228750
ENSG00000284744	chr1	6767954	6770038	+	lncRNA	ENSG00000284744
CAMTA1-DT	chr1	6784843	6783892	-	lncRNA	ENSG00000237436
CAMTA1	chr1	6785454	7769706	+	protein_coding	ENSG00000171735
ENSG00000227950	chr1	6834618	6834333	-	processed_pseudogene	ENSG00000227950
CAMTA1-AS3	chr1	7014279	7008376	-	lncRNA	ENSG00000237365
RNU1-8P	chr1	7219360	7219524	+	snRNA	ENSG00000207056
ENSG00000310450	chr1	7240057	7237660	-	lncRNA	ENSG00000310450
CAMTA1-IT1	chr1	7312886	7370277	+	lncRNA	ENSG00000237402
CAMTA1-AS2	chr1	7389915	7379384	-	lncRNA	ENSG00000237728
ENSG00000294314	chr1	7390031	7411735	+	lncRNA	ENSG00000294314
CAMTA1-AS1	chr1	7441612	7440491	-	lncRNA	ENSG00000225126
ENSG00000298973	chr1	7509131	7507509	-	lncRNA	ENSG00000298973
ENSG00000306883	chr1	7558106	7557505	-	lncRNA	ENSG00000306883
ENSG00000302704	chr1	7583643	7588823	+	lncRNA	ENSG00000302704
ENSG00000270171	chr1	7694844	7693124	-	lncRNA	ENSG00000270171
ENSG00000270035	chr1	7698872	7698303	-	lncRNA	ENSG00000270035
ENSG00000269978	chr1	7702528	7700704	-	lncRNA	ENSG00000269978
ENSG00000300603	chr1	7771187	7769955	-	lncRNA	ENSG00000300603
VAMP3	chr1	7771296	7781432	+	protein_coding	ENSG00000049245
ENSG00000269925	chr1	7776383	7776775	+	lncRNA	ENSG00000269925
PER3	chr1	7784291	7845177	+	protein_coding	ENSG00000049246
ENSG00000236266	chr1	7827342	7788351	-	lncRNA	ENSG00000236266
UTS2	chr1	7853512	7843083	-	protein_coding	ENSG00000049247
ENSG00000302605	chr1	7913257	7856311	-	lncRNA	ENSG00000302605
TNFRSF9	chr1	7943165	7915871	-	protein_coding	ENSG00000049249
ENSG00000270330	chr1	7942372	7942726	+	processed_pseudogene	ENSG00000270330
PARK7	chr1	7954291	7985505	+	protein_coding	ENSG00000116288
ENSG00000299004	chr1	7961526	7960536	-	lncRNA	ENSG00000299004
